name;open;high;low;close;volume;marketCap;timestamp
"2781";28.57646022;29.2594843316;23.2992534643;27.1653315058;533010369.49;1783471003.07;"2024-06-17T00:00:00.000Z"
"2781";27.1599021993;30.4854002166;25.7803316951;27.7903570346;552769087.84;1824505470.35;"2024-06-24T00:00:00.000Z"
"2781";27.7891683966;29.7655983467;20.1404095995;21.8563141135;493907717.15;1434920919.23;"2024-07-01T00:00:00.000Z"
"2781";21.8598612193;25.2676873212;20.9192613213;25.2399031075;513907341.15;1657061880.61;"2024-07-08T00:00:00.000Z"
"2781";25.2394259019;35.0428513062;25.1488018956;34.1958620825;661594272.83;2245135894.73;"2024-07-15T00:00:00.000Z"
"2781";34.1972820142;34.253436695;28.6052683475;30.7036704666;316128837.82;2015734017.81;"2024-07-22T00:00:00.000Z"
"2781";30.7030967856;33.1854282822;20.2700256695;20.9504104842;421255255.11;1375446112.01;"2024-07-29T00:00:00.000Z"
"2781";20.9504104842;22.8788795829;16.5910608257;20.0219456707;489236288.29;1314490107.41;"2024-08-05T00:00:00.000Z"
"2781";20.0219456707;22.7318631668;19.6562526327;21.1929446965;255102456.82;1391369081.13;"2024-08-12T00:00:00.000Z"
"2781";21.1944613199;27.3714773176;20.6019600763;25.8487598697;0;0;"2024-08-19T00:00:00Z"
